<<<<<<< HEAD
contrast,dissimilarity,homogeneity,energy,correlation,label
-0.37598748110979113,-0.3249982595089558,0.04188659819876311,0.15726448325569323,-0.4924809454924377,Chlamydomonas_Reinhardtii
-0.042424125644702486,0.002202236091161832,-0.2916944419592472,-0.12102991475420422,-0.6526737328007466,Chlamydomonas_Reinhardtii
0.23261691041680685,0.204317669204474,-0.42974538849853045,-0.3655605974975348,-0.6958989480080036,Chlamydomonas_Reinhardtii
0.49636687139569347,1.023008805318196,-2.0701636357387776,-1.852317585794952,0.5534192402193567,Chlamydomonas_Reinhardtii
0.7651478200525816,1.2803465339309654,-2.3188601318150663,-2.122601689923853,0.5270563315342937,Chlamydomonas_Reinhardtii
0.35760156525887216,0.5556218267870876,-1.2041074356470378,-1.0047009723296108,-0.6016814550906827,Chlamydomonas_Reinhardtii
0.5927944355643734,1.0582851373686126,-2.0085809516369584,-1.7716452444410586,0.4416707500798306,Chlamydomonas_Reinhardtii
0.770120294315371,1.2879018231161905,-2.338037408223777,-2.014890988198559,0.48751210742784634,Chlamydomonas_Reinhardtii
0.8548124206542089,1.4957775918628826,-2.6232781052069956,-2.351644934504028,0.7701119693427705,Chlamydomonas_Reinhardtii
1.7607536854828532,2.4085511573460496,-3.374120800674308,-2.8668355717505336,0.3419595594824864,Chlamydomonas_Reinhardtii
-0.1316475435760019,0.12052264369532777,-0.8273567543940692,-0.6668101528326573,-0.5101418587484742,Chlamydomonas_Reinhardtii
1.4940111661268325,1.9848200134162335,-2.7051995125370416,-2.324452625516286,-0.11206728400152247,Chlamydomonas_Reinhardtii
0.22971021411630563,0.4720496441508677,-1.1817071381977127,-0.9917948176086872,-1.0937788533011834,Chlamydomonas_Reinhardtii
-0.7542620819478905,-0.7624907140032364,0.6973274405590238,0.6271274364221825,0.6713154871916853,Chlamydomonas_Reinhardtii
-0.7497999040269694,-0.7650091437316552,0.6728469837791535,0.7316180543015631,-1.2309574103368528,Chlamydomonas_Reinhardtii
0.20109248997644713,0.46091360578811147,-0.694180605529336,-0.2850732120261056,-2.415962615606877,Chlamydomonas_Reinhardtii
-0.8057759358467927,-0.8249233501312173,0.7784866446923286,0.830208245642516,-0.8329348512904787,Chlamydomonas_Reinhardtii
-0.7784738095256057,-0.76511293356289,0.6216842607573839,0.5589120849688018,0.6833629300883125,Chlamydomonas_Reinhardtii
-0.715553761759858,-0.7481738225774521,0.7180388255245981,0.7628831558635005,-1.457464650822108,Chlamydomonas_Reinhardtii
-0.7812897676315393,-0.7816796222127277,0.6518545442225236,0.7171958246630552,-0.8969343598098019,Chlamydomonas_Reinhardtii
-0.6491817405056965,-0.6862784514582015,0.6329912638393258,0.7267508815950241,-1.7433804162798308,Chlamydomonas_Reinhardtii
-0.7922391964511994,-0.8084329775337514,0.7243713634722183,0.801375560097224,-1.3055369451399383,Chlamydomonas_Reinhardtii
-0.7130539032990163,-0.7298976543543841,0.6406516273978528,0.6807516663330351,-0.8077772891210592,Chlamydomonas_Reinhardtii
-0.7782269295546395,-0.7573805911361267,0.6361744923652133,0.7419643134334729,-0.20906088423128788,Chlamydomonas_Reinhardtii
-0.7039867620038079,-0.7101989549150215,0.601474595238341,0.6610084469598653,-1.230312317745958,Chlamydomonas_Reinhardtii
-0.7213466958660548,-0.7539463687791867,0.6869698371107483,0.7800259646463786,-1.8643334607705646,Chlamydomonas_Reinhardtii
-0.7270351114443998,-0.7492666684474761,0.6591479791852829,0.5626745003270505,0.3677652652624949,Chlamydomonas_Reinhardtii
