<<<<<<< HEAD
Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,class
-0.22243346622919352,-0.4295155321219335,-0.25599349322382053,-0.18033321347627712,-0.022707975391043567,-0.05330172759793451,0.022729162192340648,Chlamydomonas_Reinhardtii
0.012542756145385804,-0.33607382820344006,-0.24504610136175775,-0.17232400685516835,-0.022708098928952935,-0.05303595745077889,0.0226575508610219,Chlamydomonas_Reinhardtii
-0.07658218195552893,-0.45875526192623134,-0.2337139760778604,-0.179858889562515,-0.02270799882915653,-0.05352537061500911,0.02266132960139628,Chlamydomonas_Reinhardtii
0.7925486070642423,-0.33218784028652315,-0.2254459097647716,-0.1599022406480829,-0.022707141318014237,-0.05267970674939348,0.022722772491222135,Chlamydomonas_Reinhardtii
0.6616582500996826,-0.31304471328066913,-0.2267013885093706,-0.15782320655571616,-0.02270025086903298,-0.05155133737251643,0.022731371956514236,Chlamydomonas_Reinhardtii
0.04164564522898851,-0.3913547717094562,-0.2448858767833564,-0.17662413350260642,-0.0227083586416746,-0.053292922544570166,0.02274298308493404,Chlamydomonas_Reinhardtii
0.7695174306487521,-0.3107607167934866,-0.22677765506049266,-0.1669969639519513,-0.02270823017303266,-0.05326861361139649,0.022717611730222298,Chlamydomonas_Reinhardtii
0.8921561585673627,-0.22632707915360414,-0.19967099678457464,-0.14522882572284662,-0.022704975245244858,-0.05211300324053767,0.022776908026918587,Chlamydomonas_Reinhardtii
1.0407024715824895,-0.2656015322433803,-0.21674881979497457,-0.15088136153821666,-0.022703595048650892,-0.05134114414760693,0.022743658587505693,Chlamydomonas_Reinhardtii
0.8169458787614495,-0.30815518724789853,-0.23024338872267938,-0.16893493526558917,-0.022708150840021868,-0.05314355536953249,0.022732591979297972,Chlamydomonas_Reinhardtii
-0.07259647856950688,-0.38937934009389225,-0.23954200710019513,-0.15503193641721366,-0.022699505318736393,-0.05124376873373461,0.02276188291144475,Chlamydomonas_Reinhardtii
0.6038322701965173,-0.22481119114218143,-0.21030002336198977,-0.11986044895352091,-0.022663348164579086,-0.04512971874492005,0.02269493352820116,Chlamydomonas_Reinhardtii
0.049689449181215824,-0.37864500670703066,-0.23726986788482538,-0.16314751293157048,-0.022704447673229346,-0.05255794241461537,0.022814701934365147,Chlamydomonas_Reinhardtii
-0.5437511838992719,-0.35613659715915397,-0.2661851853578766,-0.19089228756239088,-0.022708912193199673,-0.053753853813825886,0.022723037922136178,Chlamydomonas_Reinhardtii
-0.7283312177694107,-0.48931794485486113,-0.254370427299685,-0.17314200501740626,-0.022707695509102104,-0.05286459482089347,0.022738605421008,Chlamydomonas_Reinhardtii
0.5175782377612643,-0.3989609047481285,-0.24659074819944243,-0.1674888143479762,-0.02270712077798451,-0.0526471579573049,0.022711831362008862,Chlamydomonas_Reinhardtii
-0.6608229037753911,-0.4413008897994496,-0.23588003046488382,-0.14803840499632331,-0.022703176020332567,-0.0509906213624487,0.022803640532267085,Chlamydomonas_Reinhardtii
-0.7025160298653491,-0.49178749367075475,-0.2684115316962529,-0.19221347650480491,-0.022708977889098203,-0.05383851983072047,0.02272334087625774,Chlamydomonas_Reinhardtii
-0.6822210417479595,-0.49332509406752206,-0.25434047683192706,-0.18449820635572145,-0.022708777948958144,-0.05387017384976072,0.02286041256682676,Chlamydomonas_Reinhardtii
-0.8293228728025277,-0.5565031565729694,-0.2747466983861857,-0.1976878559382519,-0.02270904458222485,-0.05399028885113489,0.02272128715417828,Chlamydomonas_Reinhardtii
-0.3105873778370187,-0.411628280626266,-0.24299452216162257,-0.16287015053950255,-0.022706141368475888,-0.05213280467447051,0.022578045258193957,Chlamydomonas_Reinhardtii
-0.981318369915686,-0.5577730312548074,-0.27650358540387626,-0.1983905305053952,-0.0227090375600202,-0.05397136596837366,0.02272150080450377,Chlamydomonas_Reinhardtii
-0.6143600931828803,-0.45075509857670026,-0.24026939511027737,-0.16213291832644652,-0.022705191514789193,-0.05155628647279771,0.022758607036735115,Chlamydomonas_Reinhardtii
-0.7918280612994957,-0.5245527703258069,-0.2681307127997574,-0.19105594365081172,-0.022708887185187356,-0.05379960375272807,0.022720130772894895,Chlamydomonas_Reinhardtii
-0.5951038289502896,-0.5109665659493458,-0.24469842796406321,-0.17125423493785996,-0.022706182532020367,-0.05321106707694883,0.022117159053153472,Chlamydomonas_Reinhardtii
-0.5811225174877481,-0.4515264254712477,-0.25706038956406935,-0.17399757440180086,-0.02270638243844506,-0.052731090460875644,0.022722554455437142,Chlamydomonas_Reinhardtii
-0.4487725236526395,-0.4388699891137256,-0.23623844059095542,-0.17135206744125084,-0.022708689018240594,-0.053590566122209755,0.022800339934525512,Chlamydomonas_Reinhardtii
-0.5608273576184385,-0.23316516403462406,-0.21007150729660182,-0.09249639513250339,-0.02266559620633442,-0.03871768286732095,0.022726544723618892,Chlamydomonas_Reinhardtii
-0.6015133133309156,-0.43832204253045043,-0.24316516191310375,-0.17696685075062876,-0.022707604258876017,-0.053201050183248194,0.022823225792449903,Chlamydomonas_Reinhardtii
-0.6008880341408472,-0.45172701817620936,-0.2634749252023617,-0.18277382538910109,-0.02270848025774674,-0.05352056445962679,0.022865088146456783,Chlamydomonas_Reinhardtii
